start_of_quarter,prediction
2017-01-01 00:00:00,0.005002776908168256
2017-01-01 00:15:00,0.005002776908168256
2017-01-01 00:30:00,0.005002776908168256
2017-01-01 00:45:00,0.005002776908168256
2017-01-01 01:00:00,0.005002776908168256
2017-01-01 01:15:00,0.005002776908168256
2017-01-01 01:30:00,0.005002776908168256
2017-01-01 01:45:00,0.005002776908168256
2017-01-01 02:00:00,0.005002776908168256
2017-01-01 02:15:00,0.005002776908168256
2017-01-01 02:30:00,0.005002776908168256
2017-01-01 02:45:00,0.005002776908168256
2017-01-01 03:00:00,0.005002776908168256
2017-01-01 03:15:00,0.005002776908168256
2017-01-01 03:30:00,0.005002776908168256
2017-01-01 03:45:00,0.005002776908168256
2017-01-01 04:00:00,0.008151288373578364
2017-01-01 04:15:00,0.017485932959095372
2017-01-01 04:30:00,0.014433344223958689
2017-01-01 04:45:00,0.01544431559146704
2017-01-01 05:00:00,0.013660464100924594
2017-01-01 05:15:00,0.012462063898342462
2017-01-01 05:30:00,0.012068513058936399
2017-01-01 05:45:00,0.013158282654830933
2017-01-01 06:00:00,0.019361109973654006
2017-01-01 06:15:00,0.024224676711548102
2017-01-01 06:30:00,0.025217253641736947
2017-01-01 06:45:00,0.02594873560771558
2017-01-01 07:00:00,0.026282850754486768
2017-01-01 07:15:00,0.06235203142898101
2017-01-01 07:30:00,0.9924291784858008
2017-01-01 07:45:00,1.0964955067070468
2017-01-01 08:00:00,1.1093600617441675
2017-01-01 08:15:00,1.1902963278972072
2017-01-01 08:30:00,2.1574745215685724
2017-01-01 08:45:00,3.2015508091559775
2017-01-01 09:00:00,4.43095607754536
2017-01-01 09:15:00,4.661273064046322
2017-01-01 09:30:00,5.650393079082175
2017-01-01 09:45:00,6.450485070228135
2017-01-01 10:00:00,6.864927396304697
2017-01-01 10:15:00,7.317717347739154
2017-01-01 10:30:00,7.365971740634932
2017-01-01 10:45:00,7.518760563422988
2017-01-01 11:00:00,7.654905370422372
2017-01-01 11:15:00,7.81032147807405
2017-01-01 11:30:00,7.931700601823188
2017-01-01 11:45:00,7.931700601823188
2017-01-01 12:00:00,7.931700601823188
2017-01-01 12:15:00,7.931700601823188
2017-01-01 12:30:00,7.922036950752438
2017-01-01 12:45:00,7.88913026984765
2017-01-01 13:00:00,7.867846683254412
2017-01-01 13:15:00,7.821284865372748
2017-01-01 13:30:00,7.794452947462324
2017-01-01 13:45:00,7.776205803589779
2017-01-01 14:00:00,7.694557908773988
2017-01-01 14:15:00,7.4254030738597345
2017-01-01 14:30:00,6.373078546727516
2017-01-01 14:45:00,3.827398923830167
2017-01-01 15:00:00,2.613478080734616
2017-01-01 15:15:00,2.4557880148341154
2017-01-01 15:30:00,2.2070460687213815
2017-01-01 15:45:00,2.1612153737393225
2017-01-01 16:00:00,1.5933931770278629
2017-01-01 16:15:00,0.15436757942674995
2017-01-01 16:30:00,0.04425891146527341
2017-01-01 16:45:00,0.03551643188819369
2017-01-01 17:00:00,0.02389059747369871
2017-01-01 17:15:00,0.02273391987832459
2017-01-01 17:30:00,0.019960979268745894
2017-01-01 17:45:00,0.024005187720121095
2017-01-01 18:00:00,0.025646454169748745
2017-01-01 18:15:00,0.030863057238906724
2017-01-01 18:30:00,0.027818372219094858
2017-01-01 18:45:00,0.02875845957792581
2017-01-01 19:00:00,0.03036220304288425
2017-01-01 19:15:00,0.010295211306320934
2017-01-01 19:30:00,0.0030019231406921893
2017-01-01 19:45:00,0.0030019231406921893
2017-01-01 20:00:00,0.0030019231406921893
2017-01-01 20:15:00,0.0030019231406921893
2017-01-01 20:30:00,0.0030019231406921893
2017-01-01 20:45:00,0.0030019231406921893
2017-01-01 21:00:00,0.0030019231406921893
2017-01-01 21:15:00,0.0030019231406921893
2017-01-01 21:30:00,0.0030019231406921893
2017-01-01 21:45:00,0.0030019231406921893
2017-01-01 22:00:00,0.0030019231406921893
2017-01-01 22:15:00,0.0030019231406921893
2017-01-01 22:30:00,0.0030019231406921893
2017-01-01 22:45:00,0.0030019231406921893
2017-01-01 23:00:00,0.0030019231406921893
2017-01-01 23:15:00,0.0030019231406921893
2017-01-01 23:30:00,0.0030019231406921893
2017-01-01 23:45:00,0.0030019231406921893
2017-01-02 00:00:00,0.005002776908168256
